symbol,orig_direction,rev_direction,signal_index,entry_index,entry_price,exit_price,duration_bars,rev_max_roe_pct,rev_max_sl_pct,rev_net_pnl_pct,rev_label
ADAUSDT,SELL,BUY,23135,23136,0.1671,0.1764,37,5.805,1.137,5.566,win
ADAUSDT,BUY,SELL,24162,24163,0.1501,0.1427,35,7.995,0.2,4.93,win
ADAUSDT,SELL,BUY,24196,24197,0.1427,0.1484,108,5.046,3.083,3.994,win
ADAUSDT,BUY,SELL,24303,24304,0.1486,0.1447,116,3.432,0.673,2.624,win
ADAUSDT,SELL,BUY,24669,24670,0.1421,0.1519,63,7.671,0.211,6.897,win
ADAUSDT,BUY,SELL,27089,27090,0.1655,0.1591,182,4.713,1.027,3.867,win
ADAUSDT,SELL,BUY,29824,29825,0.2165,0.2242,175,6.513,1.293,3.557,win
AVAXUSDT,BUY,SELL,652,653,19.536,19.12,61,2.846,1.044,2.129,win
AVAXUSDT,BUY,SELL,1523,1524,18.577,18.156,119,2.369,2.277,2.266,win
AVAXUSDT,BUY,SELL,1941,1942,16.915,16.065,82,5.439,0.053,5.025,win
AVAXUSDT,BUY,SELL,2089,2090,16.91,16.93,173,4.926,8.829,-0.118,win
AVAXUSDT,BUY,SELL,5013,5014,13.766,13.857,311,3.69,7.664,-0.661,win
AVAXUSDT,BUY,SELL,5457,5458,13.626,12.82,27,6.128,0.352,5.915,win
AVAXUSDT,SELL,BUY,5483,5484,12.969,13.373,68,3.778,1.373,3.115,win
AVAXUSDT,BUY,SELL,6428,6429,12.363,11.907,106,4.554,1.456,3.688,win
AVAXUSDT,SELL,BUY,6763,6764,12.041,12.562,17,4.75,0.208,4.327,win
AVAXUSDT,SELL,BUY,6827,6828,12.254,12.448,84,1.959,0.816,1.583,lose
AVAXUSDT,SELL,BUY,7036,7037,12.552,12.906,26,3.258,0.239,2.82,win
AVAXUSDT,SELL,BUY,7100,7101,12.568,12.524,302,1.321,3.016,-0.35,lose
AVAXUSDT,SELL,BUY,7974,7975,14.11,13.858,402,0.907,3.756,-1.786,lose
AVAXUSDT,SELL,BUY,8439,8440,13.63,13.973,110,3.448,1.959,2.517,win
AVAXUSDT,SELL,BUY,9015,9016,13.57,12.51,333,1.356,12.587,-7.811,lose
AVAXUSDT,SELL,BUY,9415,9416,12.046,11.796,436,3.669,6.832,-2.075,win
AVAXUSDT,BUY,SELL,11408,11409,8.862,9.247,322,2.844,9.964,-4.344,win
AVAXUSDT,SELL,BUY,13086,13087,8.87,9.442,76,6.55,0.124,6.449,win
AVAXUSDT,BUY,SELL,13161,13162,9.31,9.083,81,4.006,1.794,2.438,win
AVAXUSDT,SELL,BUY,15926,15927,8.756,9.246,76,6.236,0.514,5.596,win
AVAXUSDT,SELL,BUY,16084,16085,8.768,8.903,121,2.042,1.779,1.54,win
AVAXUSDT,SELL,BUY,16390,16391,8.815,9.266,69,5.389,0.839,5.116,win
AVAXUSDT,SELL,BUY,16975,16976,9.283,9.515,39,2.941,1.066,2.499,win
AVAXUSDT,SELL,BUY,17043,17044,9.087,9.253,158,3.301,1.794,1.827,win
AVAXUSDT,BUY,SELL,17880,17881,9.301,9.286,215,1.484,4.0,0.161,lose
AVAXUSDT,SELL,BUY,18094,18095,9.309,9.441,177,1.794,1.794,1.418,lose
AVAXUSDT,BUY,SELL,18270,18271,9.432,9.316,85,1.633,0.7,1.23,lose
AVAXUSDT,SELL,BUY,18354,18355,9.299,9.443,64,1.699,0.194,1.549,lose
AVAXUSDT,BUY,SELL,18417,18418,9.443,9.238,85,2.542,1.239,2.171,win
AVAXUSDT,SELL,BUY,18501,18502,9.242,9.327,187,1.212,1.796,0.92,lose
AVAXUSDT,BUY,SELL,18934,18935,9.174,9.042,130,1.711,0.774,1.439,lose
AVAXUSDT,SELL,BUY,19063,19064,9.036,9.278,96,3.298,0.808,2.678,win
AVAXUSDT,SELL,BUY,19521,19522,9.441,9.734,76,3.76,0.328,3.103,win
AVAXUSDT,BUY,SELL,20166,20167,10.01,9.544,90,4.785,1.229,4.655,win
AVAXUSDT,BUY,SELL,20739,20740,9.255,9.228,215,1.243,3.717,0.292,lose
AVAXUSDT,SELL,BUY,21805,21806,8.824,6.646,1065,2.799,29.533,-24.683,win
AVAXUSDT,SELL,BUY,23341,23342,6.778,6.186,401,3.541,16.303,-8.734,win
AVAXUSDT,BUY,SELL,23901,23902,6.402,6.122,80,6.232,1.031,4.374,win
AVAXUSDT,SELL,BUY,23980,23981,6.101,6.488,54,6.442,0.131,6.343,win
AVAXUSDT,SELL,BUY,24110,24111,6.118,6.412,37,6.048,2.109,4.805,win
AVAXUSDT,BUY,SELL,24303,24304,6.494,6.381,116,2.756,2.71,1.74,win
AVAXUSDT,SELL,BUY,24669,24670,6.392,6.669,66,5.21,0.172,4.334,win
AVAXUSDT,BUY,SELL,24734,24735,6.683,6.823,376,1.9,6.419,-2.095,lose
AVAXUSDT,SELL,BUY,25109,25110,6.802,6.922,84,2.999,0.838,1.764,win
AVAXUSDT,BUY,SELL,25508,25509,6.732,6.546,261,2.897,1.5,2.763,win
AVAXUSDT,SELL,BUY,26195,26196,6.601,6.629,160,0.803,3.575,0.424,lose
AVAXUSDT,BUY,SELL,26581,26582,6.539,6.479,174,1.254,2.233,0.918,lose
AVAXUSDT,BUY,SELL,26803,26804,6.607,6.473,81,2.861,0.832,2.028,win
